"index","r_odds","b_odds","weight_class"
512,130,-150,"Welterweight"
513,-135,115,"Middleweight"
514,-150,130,"Featherweight"
515,165,-190,"Lightweight"
516,-170,150,"Light Heavyweight"
517,130,-140,"Featherweight"
518,-175,155,"Women's Flyweight"
519,310,-340,"Featherweight"
520,200,-240,"Heavyweight"
521,100,-120,"Welterweight"
522,-210,175,"Welterweight"
523,100,-120,"Heavyweight"
524,-220,180,"Lightweight"
525,135,-155,"Middleweight"
526,-240,200,"Welterweight"
527,195,-235,"Women's Bantamweight"
528,-200,170,"Featherweight"
529,215,-255,"Heavyweight"
530,-130,110,"Bantamweight"
531,-175,155,"Welterweight"
532,-135,115,"Lightweight"
533,-800,550,"Light Heavyweight"
534,-190,165,"Welterweight"
535,240,-280,"Welterweight"
536,125,-145,"Women's Strawweight"
537,-160,140,"Bantamweight"
538,260,-320,"Featherweight"
539,155,-175,"Light Heavyweight"
540,-170,150,"Bantamweight"
541,200,-240,"Welterweight"
542,-150,130,"Middleweight"
543,415,-525,"Women's Bantamweight"
544,-280,240,"Women's Strawweight"
545,110,-130,"Light Heavyweight"
546,-115,-105,"Heavyweight"
547,180,-220,"Light Heavyweight"
548,-155,135,"Women's Flyweight"
549,225,-265,"Bantamweight"
550,-210,175,"Light Heavyweight"
551,140,-160,"Welterweight"
552,205,-245,"Featherweight"
553,158,-180,"Women's Flyweight"
554,-325,265,"Lightweight"
555,-470,375,"Welterweight"
556,-140,120,"Lightweight"
557,-325,265,"Lightweight"
558,175,-210,"Heavyweight"
559,-120,100,"Lightweight"
560,295,-355,"Women's Strawweight"
561,245,-290,"Featherweight"
562,-470,375,"Welterweight"
563,130,-150,"Featherweight"
564,-135,115,"Bantamweight"
565,170,-200,"Bantamweight"
566,160,-185,"Women's Flyweight"
567,-160,140,"Lightweight"
568,130,-150,"Bantamweight"
569,-110,-110,"Women's Strawweight"
570,-515,410,"Middleweight"
571,-450,360,"Lightweight"
572,-115,-105,"Bantamweight"
573,-250,210,"Women's Flyweight"
574,-145,125,"Light Heavyweight"
575,-270,230,"Lightweight"
576,-380,315,"Featherweight"
577,-265,220,"Flyweight"
578,290,-350,"Bantamweight"
579,190,-230,"Lightweight"
580,105,-125,"Bantamweight"
581,130,-150,"Bantamweight"
582,-110,-110,"Featherweight"
583,-200,170,"Welterweight"
584,-120,100,"Lightweight"
585,-235,195,"Light Heavyweight"
586,-230,190,"Women's Strawweight"
587,115,-135,"Middleweight"
588,185,-225,"Women's Flyweight"
589,160,-185,"Welterweight"
590,-145,125,"Heavyweight"
591,-130,110,"Featherweight"
592,-170,150,"Bantamweight"
593,-290,245,"Flyweight"
594,185,-225,"Flyweight"
595,-450,360,"Heavyweight"
596,-470,375,"Lightweight"
597,-240,200,"Flyweight"
598,-175,155,"Women's Flyweight"
599,-110,-110,"Light Heavyweight"
600,-220,180,"Lightweight"
601,215,-255,"Women's Flyweight"
602,-290,245,"Light Heavyweight"
603,-525,415,"Bantamweight"
604,105,-125,"Lightweight"
605,170,-200,"Welterweight"
606,-165,145,"Welterweight"
607,-290,245,"Light Heavyweight"
608,-210,175,"Women's Featherweight"
609,-105,-115,"Welterweight"
610,-130,110,"Light Heavyweight"
611,-140,120,"Featherweight"
612,180,-220,"Heavyweight"
613,-130,120,"Women's Featherweight"
614,290,-350,"Bantamweight"
615,365,-460,"Lightweight"
616,-120,100,"Bantamweight"
617,150,-170,"Middleweight"
618,-150,130,"Welterweight"
619,155,-175,"Bantamweight"
620,-335,275,"Lightweight"
621,-105,-115,"Lightweight"
622,-165,145,"Bantamweight"
623,255,-310,"Lightweight"
624,230,-270,"Welterweight"
625,210,-250,"Lightweight"
626,-115,-105,"Lightweight"
627,130,-150,"Middleweight"
628,270,-330,"Middleweight"
629,-165,145,"Featherweight"
630,-110,-110,"Light Heavyweight"
631,375,-470,"Heavyweight"
632,-110,-110,"Featherweight"
633,-300,250,"Women's Flyweight"
634,135,-155,"Welterweight"
635,-200,170,"Featherweight"
636,160,-185,"Light Heavyweight"
637,-310,255,"Women's Strawweight"
638,-135,115,"Lightweight"
639,-235,195,"Women's Flyweight"
640,-125,105,"Middleweight"
641,-160,140,"Bantamweight"
642,-400,325,"Welterweight"
643,-550,425,"Lightweight"
644,435,-570,"Light Heavyweight"
645,-160,140,"Heavyweight"
646,415,-525,"Light Heavyweight"
647,-110,-110,"Heavyweight"
648,-150,130,"Welterweight"
649,450,-600,"Featherweight"
650,-290,245,"Light Heavyweight"
651,250,-300,"Welterweight"
652,125,-145,"Flyweight"
653,-155,135,"Welterweight"
654,300,-360,"Flyweight"
655,310,-370,"Lightweight"
656,425,-550,"Lightweight"
657,270,-330,"Welterweight"
658,-175,155,"Heavyweight"
659,-115,-105,"Women's Featherweight"
660,-290,245,"Bantamweight"
661,100,-120,"Middleweight"
662,235,-275,"Women's Flyweight"
663,-125,105,"Featherweight"
664,100,-120,"Flyweight"
665,-140,120,"Heavyweight"
666,170,-200,"Women's Featherweight"
667,-340,280,"Lightweight"
668,-340,280,"Welterweight"
669,-550,425,"Bantamweight"
670,-240,200,"Heavyweight"
671,115,-135,"Heavyweight"
672,-550,425,"Bantamweight"
673,-220,180,"Welterweight"
674,-140,120,"Welterweight"
675,290,-350,"Women's Flyweight"
676,-125,105,"Light Heavyweight"
677,-550,425,"Women's Strawweight"
678,-170,150,"Bantamweight"
679,-360,300,"Women's Strawweight"
680,-590,445,"Middleweight"
681,150,-170,"Bantamweight"
682,175,-210,"Welterweight"
683,-175,155,"Featherweight"
684,-155,135,"Light Heavyweight"
685,-185,160,"Middleweight"
686,260,-320,"Bantamweight"
687,150,-170,"Women's Strawweight"
688,-145,125,"Welterweight"
689,-320,260,"Flyweight"
690,-235,195,"Featherweight"
691,100,-120,"Welterweight"
692,200,-240,"Lightweight"
693,-420,335,"Featherweight"
694,110,-130,"Featherweight"
695,170,-200,"Welterweight"
696,180,-220,"Women's Bantamweight"
697,-160,140,"Lightweight"
698,-470,375,"Women's Strawweight"
699,145,-165,"Lightweight"
700,-140,120,"Women's Strawweight"
701,100,-120,"Featherweight"
702,-1000,650,"Lightweight"
703,-230,210,"Lightweight"
704,125,-145,"Flyweight"
705,-230,190,"Bantamweight"
706,-380,315,"Heavyweight"
707,-160,140,"Middleweight"
708,-325,265,"Middleweight"
709,-325,265,"Middleweight"
710,245,-290,"Middleweight"
711,-300,250,"Featherweight"
712,-600,450,"Women's Flyweight"
713,-255,215,"Featherweight"
714,-630,465,"Welterweight"
715,200,-240,"Lightweight"
716,-400,325,"Featherweight"
717,-170,150,"Heavyweight"
718,-160,140,"Light Heavyweight"
719,-700,500,"Featherweight"
720,-345,285,"Light Heavyweight"
721,-140,120,"Bantamweight"
722,-235,195,"Light Heavyweight"
723,-245,205,"Welterweight"
724,-120,100,"Welterweight"
725,600,-750,"Lightweight"
726,-200,170,"Featherweight"
727,-170,150,"Women's Bantamweight"
728,-450,360,"Lightweight"
729,-160,140,"Heavyweight"
730,-160,140,"Lightweight"
731,-190,165,"Lightweight"
732,-355,295,"Lightweight"
733,190,-230,"Light Heavyweight"
734,135,-155,"Heavyweight"
735,115,-135,"Women's Strawweight"
736,-190,165,"Flyweight"
737,-700,500,"Welterweight"
738,-185,160,"Women's Bantamweight"
739,260,-320,"Lightweight"
740,205,-245,"Women's Bantamweight"
741,190,-230,"Lightweight"
742,-125,105,"Welterweight"
743,-200,170,"Light Heavyweight"
744,-500,400,"Welterweight"
745,-350,290,"Light Heavyweight"
746,-200,170,"Bantamweight"
747,115,-135,"Women's Strawweight"
748,-470,375,"Lightweight"
749,-165,145,"Lightweight"
750,-105,-115,"Light Heavyweight"
751,-230,190,"Heavyweight"
752,-275,235,"Welterweight"
753,120,-140,"Women's Flyweight"
754,-160,140,"Middleweight"
755,-1000,650,"Welterweight"
756,-1500,1000,"Women's Strawweight"
757,-120,100,"Heavyweight"
758,125,-145,"Light Heavyweight"
759,120,-140,"Heavyweight"
760,-440,350,"Welterweight"
761,-165,145,"Middleweight"
762,-1200,775,"Bantamweight"
763,-840,570,"Lightweight"
764,-600,450,"Lightweight"
765,-560,430,"Light Heavyweight"
766,240,-280,"Middleweight"
767,-680,490,"Welterweight"
768,-550,425,"Bantamweight"
769,-105,-115,"Welterweight"
770,-450,360,"Women's Strawweight"
771,-1375,900,"Featherweight"
772,-150,130,"Bantamweight"
773,-110,-110,"Welterweight"
774,335,-420,"Women's Strawweight"
775,-170,150,"Bantamweight"
776,-210,175,"Welterweight"
777,-170,150,"Middleweight"
778,175,-210,"Welterweight"
779,155,-175,"Lightweight"
780,-110,-110,"Women's Bantamweight"
781,175,-190,"Flyweight"
782,120,-140,"Lightweight"
783,100,-120,"Featherweight"
784,115,-135,"Women's Strawweight"
785,335,-420,"Welterweight"
786,150,-170,"Flyweight"
787,-1200,775,"Middleweight"
788,270,-330,"Welterweight"
789,-200,170,"Bantamweight"
790,-140,120,"Middleweight"
791,-325,295,"Welterweight"
792,-185,160,"Women's Flyweight"
793,-240,200,"Lightweight"
794,-105,-115,"Bantamweight"
795,-125,105,"Bantamweight"
796,-470,375,"Flyweight"
797,250,-300,"Featherweight"
798,-155,135,"Women's Strawweight"
799,-340,280,"Middleweight"
800,-210,175,"Bantamweight"
801,105,-125,"Bantamweight"
802,-275,235,"Bantamweight"
803,-140,120,"Featherweight"
804,-120,100,"Flyweight"
805,260,-320,"Women's Strawweight"
806,-470,375,"Bantamweight"
807,135,-155,"Lightweight"
808,100,-120,"Featherweight"
809,-320,260,"Women's Strawweight"
810,-110,-110,"Lightweight"
811,-150,130,"Welterweight"
812,-470,375,"Featherweight"
813,450,-600,"Lightweight"
814,115,-135,"Light Heavyweight"
815,-235,195,"Lightweight"
816,140,-160,"Women's Flyweight"
817,170,-200,"Flyweight"
818,120,-140,"Women's Strawweight"
819,-105,-115,"Lightweight"
820,-150,130,"Light Heavyweight"
821,-120,100,"Light Heavyweight"
822,175,-210,"Middleweight"
823,-190,165,"Heavyweight"
824,-210,175,"Welterweight"
825,140,-160,"Lightweight"
826,-150,130,"Lightweight"
827,-140,120,"Welterweight"
828,180,-220,"Featherweight"
829,-105,-115,"Light Heavyweight"
830,260,-320,"Bantamweight"
831,190,-230,"Light Heavyweight"
832,-125,105,"Bantamweight"
833,-190,165,"Heavyweight"
834,-125,-105,"Welterweight"
835,-185,160,"Featherweight"
836,-130,110,"Welterweight"
837,100,-120,"Featherweight"
838,-110,-110,"Women's Bantamweight"
839,155,-175,"Bantamweight"
840,180,-220,"Featherweight"
841,-105,-115,"Flyweight"
842,-165,145,"Featherweight"
843,-115,-105,"Women's Flyweight"
844,115,-135,"Flyweight"
845,150,-170,"Women's Strawweight"
846,-160,140,"Heavyweight"
847,-310,255,"Heavyweight"
848,-170,150,"Welterweight"
849,-175,155,"Lightweight"
850,-160,140,"Light Heavyweight"
851,245,-290,"Middleweight"
852,-140,120,"Bantamweight"
853,-200,170,"Lightweight"
854,-170,150,"Welterweight"
855,-115,-105,"Lightweight"
856,-185,160,"Women's Strawweight"
857,-105,-115,"Middleweight"
858,130,-150,"Lightweight"
859,220,-260,"Featherweight"
860,-130,110,"Featherweight"
861,130,-150,"Women's Flyweight"
862,115,-135,"Middleweight"
